participantcode,std_female,gpa,prior_num_guess,post_num_guess,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,orig_correct,fn_correct,answers_correct,std_male,female_r1,female_r2,female_r3,extrovert,agreeable,conscientious,neurotic,open,riskaversion,wtp,I,overconfidence,underconfidence,overoptimism,uncertainty1,uncertainty2,prior_minus_orig,wtpcategory,prior_downside1,post_downside,updates,gradeup_s0,gradedown_s0,betteroff_s0,worseoff_s0,gradeup_s1,gradedown_s1,betteroff_s1,worseoff_s1,gradeup_s2,gradedown_s2,betteroff_s2,worseoff_s2,gradeup_s3,gradedown_s3,betteroff_s3,worseoff_s3,gradeup_s4,gradedown_s4,betteroff_s4,worseoff_s4,gradeup_s5,gradedown_s5,betteroff_s5,worseoff_s5,gradeup_s6,gradedown_s6,betteroff_s6,worseoff_s6,gradeup_s7,gradedown_s7,betteroff_s7,worseoff_s7,gradeup_s8,gradedown_s8,betteroff_s8,worseoff_s8,gradeup_s9,gradedown_s9,betteroff_s9,worseoff_s9,irrational,everasked,num_asked,num_asked_imp
ipwsdp5r,0,3.759999990463257,17,14,0,0,0,0,0,0,1,1,1,0,13,13,15,1,0,NA,NA,4,4.5,3,2,2.5,0.20000000298023224,0.5,1,0.5,0,2,0.20000000298023224,1.440000057220459,4,-1,0.20000000298023224,0.10000000149011612,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
kof4kzun,0,3.700000047683716,16,17,0,0,0,0,1,1,1,1,1,1,16,17,17,1,NA,NA,NA,2,4,3.5,3,3,2,1.5,1,0.5333333611488342,0.08749999850988388,-1,0.5,4.409999847412109,0,1,0.30000001192092896,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
s0a5eicg,0,2.5,15,13,0,0,0,0,0,0,0,1,1,1,12,14,14,1,0,0,0,3.5,3.5,3.5,2,3.5,1.3350000381469727,0,0,0.6000000238418579,0.06538461148738861,1,0.6000000238418579,6.639999866485596,3,-1,0.4000000059604645,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,2.0426666736602783
co7whckx,0,4,15,18,0,0,0,0,0,0,0,0,0,1,18,18,17,1,1,NA,NA,3,3,5,2.5,2.5,0.20000000298023224,-1,0,0.5,0.10437500476837158,-2,0.6499999761581421,5.827499866485596,-3,-1,0.30000001192092896,0.4000000059604645,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
63fwqgco,0,2.0999999046325684,14,12,1,1,1,1,1,1,1,1,1,1,11,13,13,1,NA,NA,NA,3,4.5,2.5,2,4.5,0.28999999165534973,3.5,1,0.5185714364051819,0.1458333283662796,1,0.5,6.099999904632568,3,1,0.25,0.15000000596046448,-2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
mtpz0366,0,2.5999999046325684,14,13,0,0,0,0,0,0,0,0,0,0,12,12,12,1,1,NA,NA,2.5,2.5,3,3.5,4,1.3350000381469727,-1.5,0,0.5737500190734863,0.16818182170391083,2,0.5,4.409999847412109,2,-1,0.20000000298023224,0.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
yliu84hu,0,3.25,15,11,0,0,0,0,0,0,0,0,1,1,8,8,10,1,1,0,NA,3,4.5,3.5,2.5,3,0.5249999761581421,-0.5,0,0.6499999761581421,0,5,0.550000011920929,7.287499904632568,7,-1,0.30000001192092896,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2
j5b31awf,0,2.299999952316284,15,15,1,1,1,1,1,1,1,1,1,1,14,13,13,1,0,NA,NA,2,5,3.5,2,3.5,0.28999999165534973,3.5,1,0.6257143020629883,0.20416666567325592,2,0.75,2.3475000858306885,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
ykym1nf4,0,3.0999999046325684,14,14,0,1,0,1,1,1,1,1,1,1,12,12,13,1,NA,NA,NA,2,3.5,3.5,3,4,2,3,1,0.5142857432365417,0.0833333358168602,1,0.20000000298023224,1.7999999523162842,2,1,0.10000000149011612,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
zz84ftjb,0,3.869999885559082,15,15,0,0,0,0,0,1,1,1,1,1,13,13,15,1,0,0,NA,2,4,4.5,3,3,0.20000000298023224,1,1,0.5600000023841858,0.16428571939468384,0,0.4000000059604645,5.199999809265137,2,0,0.20000000298023224,0.09000000357627869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2,2
uk4s709y,0,3.9700000286102295,16,14,0,0,0,0,0,1,1,1,1,1,11,13,13,1,NA,NA,NA,3,3.5,3,3,4.5,0.5249999761581421,1,1,0.735714316368103,0.05833333358168602,3,0,0,5,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
bhvpylny,0,3.299999952316284,16,3,0,0,0,0,0,0,0,0,0,1,9,9,11,1,1,0,0,4,3.5,4,3.5,3,2,-1,0,0.6944444179534912,0.05000000074505806,5,0.5,2.25,7,-1,0.5,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2.0426666736602783
y54ut1jc,0,2.75,17,15,0,0,0,0,0,0,0,1,1,1,13,13,14,1,0,0,0,5,3.5,4,1.5,3.5,2,0,0,0.6666666865348816,0.057692307978868484,3,0.30000001192092896,2.609999895095825,4,-1,0.10000000149011612,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,2.553333282470703
l7qeuqy1,0,3.4000000953674316,14,11,0,0,0,0,0,0,0,1,1,1,9,9,9,1,0,1,1,4,3.5,4,2,4.5,0.20000000298023224,0,0,0.4318181872367859,0,5,0.800000011920929,13.600000381469727,5,0,0.4000000059604645,0.4000000059604645,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2.0426666736602783
y23shhcv,0,3.9000000953674316,13,14,0,0,0,0,0,0,1,1,1,1,12,12,11,1,NA,NA,NA,1.5,3.5,4.5,3.5,5,1.3350000381469727,0.5,1,0.18888889253139496,0.5099999904632568,2,0.30000001192092896,2.609999895095825,1,1,0.20000000298023224,0.10000000149011612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
