id,maleup_fn,femaleup_fn,malesame_fn,femalesame_fn,maledown_fn,femaledown_fn,maleup_mt,femaleup_mt,malesame_mt,femalesame_mt,maledown_mt,femaledown_mt
10395811540,10,10,90,90,0,0,10,20,90,80,0,0
10393941318,20,40,80,60,0,0,50,50,50,50,0,0
10393247497,0,0,100,100,0,0,50,50,50,50,0,0
10392841266,0,0,100,100,0,0,2,2,98,98,0,0
10392818138,0,0,100,100,0,0,50,50,50,50,0,0
10392746773,50,50,50,50,0,0,50,50,50,50,0,0
10391520230,5,5,95,95,0,0,1,1,99,99,0,0
10391044049,50,50,50,50,0,0,50,50,50,50,0,0
10390723588,10,10,90,90,0,0,5,5,95,95,0,0
10390164262,1,2,99,98,0,0,2,4,98,96,0,0
10389934429,0,0,100,100,0,0,50,50,50,50,0,0
10389926835,20,20,80,80,0,0,30,40,70,60,0,0
10389717485,1,1,99,99,0,0,10,10,90,90,0,0
10389682614,1,1,99,99,0,0,1,1,99,99,0,0
10389266230,0,0,100,100,0,0,50,50,25,25,25,25
10388988155,0,0,100,100,0,0,25,50,50,25,25,25
10388913604,0,0,50,100,50,0,75,75,25,25,0,0
10388907569,50,80,50,20,0,0,80,90,20,10,0,0
10388882156,10,20,90,80,0,0,50,50,50,50,0,0
10320763383,30,50,70,50,0,0,80,70,10,30,10,0
10320037613,50,50,50,50,0,0,75,75,25,25,0,0
10317462020,25,25,75,75,0,0,25,25,75,75,0,0
10313501826,1,3,95,95,4,2,3,3,95,95,2,2
10311621104,0,0,100,100,0,0,33,33,34,34,33,33
10311538717,0,0,100,100,0,0,5,5,95,95,0,0
10311271121,25,25,50,50,25,25,15,10,60,70,25,20
10311195810,0,0,100,100,0,0,5,5,95,95,0,0
10311158294,0,0,100,100,0,0,0,0,100,100,0,0
10310874027,50,50,50,50,0,0,75,75,25,25,0,0
10310854828,0,0,100,100,0,0,50,50,50,50,0,0
10310854175,1,1,99,99,0,0,2,2,98,98,0,0
10310802685,80,60,20,40,0,0,50,60,45,40,5,0
10310706735,5,5,94,94,1,1,95,95,5,5,0,0
10310697605,50,50,50,50,0,0,50,50,50,50,0,0
10310671455,0,0,100,100,0,0,80,80,20,20,0,0
10310651502,0,0,100,100,0,0,20,20,80,80,0,0
10310615907,6,4,94,96,0,0,20,22,80,78,0,0
10310606442,55,55,45,45,0,0,60,60,40,40,0,0
10310601067,10,10,90,90,0,0,30,30,70,70,0,0
10310577667,20,20,80,80,0,0,30,30,70,70,0,0
10310531025,60,60,40,40,0,0,60,60,40,40,0,0
10310518938,100,100,0,0,0,0,100,100,0,0,0,0
10310518469,0,0,100,100,0,0,0,0,100,100,0,0
10310505615,5,5,90,90,5,5,70,70,30,30,0,0
10310490328,10,10,90,90,0,0,10,10,90,90,0,0
10310471363,50,50,50,50,0,0,70,70,30,30,0,0
10310460428,0,0,100,100,0,0,5,5,95,95,0,0
10310448655,5,5,95,95,0,0,10,10,90,90,0,0
10310443375,0,0,100,100,0,0,50,50,50,50,0,0
10310442516,50,50,50,50,0,0,75,75,25,25,0,0
10310341765,0,0,100,100,0,0,2,2,98,98,0,0
10310341028,50,50,50,50,0,0,50,50,50,50,0,0
10310298928,50,10,50,90,0,0,10,10,90,90,0,0
10310138415,50,50,50,50,0,0,20,20,80,80,0,0
10310132502,25,25,75,75,0,0,75,75,25,25,0,0
10309802722,5,10,93,90,2,0,10,10,90,90,0,0
10309619245,5,5,95,95,0,0,60,60,40,40,0,0
10309615478,0,0,100,100,0,0,80,80,19,20,1,0
