participantcode,round,std_female,std_standing,consider_regrade,num_class,control,regret3,regret4,asked,std_male,everasked,num_asked,num_asked_imp,everasked_mt,num_asked_mt,ratio_asked_mt,everasked_fn,num_asked_fn,ratio_asked_fn,orig_ngrade,fn_ngrade,part_up,part_down,posgradechange,neggradechange,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O23,O24,O25,O26,O30,O31,O32,O33,O34,O35,O36,O37,stress,pr_up,pr_same,pr_down
00siaacv,1,1,3,No,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,10,80,10
00siaacv,2,1,3,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,80,10
00siaacv,3,1,3,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,80,10
011dy634,1,0,3,Yes,3,6,1,1,No,1,1,2,3,1,2,0.3779761791229248,0,0,0.1949404776096344,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.6666666269302368,36.33333206176758,47,16.66666603088379
011dy634,2,0,3,NA,3,6,1,1,Yes,1,1,2,3,1,2,0.3779761791229248,0,0,0.1949404776096344,3.3340001106262207,3.3340001106262207,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666269302368,36.33333206176758,47,16.66666603088379
011dy634,3,0,3,NA,3,6,1,1,Yes,1,1,2,3,1,2,0.3779761791229248,0,0,0.1949404776096344,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666269302368,36.33333206176758,47,16.66666603088379
01qwvj7s,1,0,1,No,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,2,98,0
01qwvj7s,2,0,1,NA,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,98,0
01qwvj7s,3,0,1,NA,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,98,0
02q9cfzv,1,1,3,No,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,50,50,0
02q9cfzv,2,1,3,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,50,0
02q9cfzv,3,1,3,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,50,0
03a5nj74,1,1,1,Yes,1,6,1,1,No,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,20,60,20
03a5nj74,2,1,1,NA,1,6,1,1,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,60,20
03a5nj74,3,1,1,NA,1,6,1,1,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,60,20
04ug19hi,1,1,2,No,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,20,80,0
04ug19hi,2,1,2,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,80,0
04ug19hi,3,1,2,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,80,0
05p8pdws,1,1,3,Yes,4,5,1,1,No,0,0,0,2.3027777671813965,0,0,0.3982639014720917,0,0,0.2152777761220932,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,6.666666507720947,8.333333015441895,91.66666412353516,0
05p8pdws,2,1,3,NA,4,5,1,1,No,0,0,0,2.3027777671813965,0,0,0.3982639014720917,0,0,0.2152777761220932,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.666666507720947,8.333333015441895,91.66666412353516,0
05p8pdws,3,1,3,NA,4,5,1,1,No,0,0,0,2.3027777671813965,0,0,0.3982639014720917,0,0,0.2152777761220932,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6.666666507720947,8.333333015441895,91.66666412353516,0
062gmoc6,1,1,1,No,0,4,2,2,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,20,75,5
062gmoc6,2,1,1,NA,0,4,2,2,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,75,5
062gmoc6,3,1,1,NA,0,4,2,2,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,75,5
08ww688u,1,1,4,Yes,1,7,3,2,Yes,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,100,0,0
08ww688u,2,1,4,NA,1,7,3,2,NA,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
08ww688u,3,1,4,NA,1,7,3,2,NA,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
09kkvu77,1,1,4,Yes,2,5,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5.5,15,85,0
09kkvu77,2,1,4,NA,2,5,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,15,85,0
09kkvu77,3,1,4,NA,2,5,1,1,NA,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,15,85,0
09rz7lpl,1,0,4,Yes,1,7,1,1,Yes,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,3.6670000553131104,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,75,25,0
09rz7lpl,2,0,4,NA,1,7,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,25,0
09rz7lpl,3,0,4,NA,1,7,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,25,0
09yij3a9,1,0,4,Yes,2,5,1,1,Yes,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,4,3.6670000553131104,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.5,50,50,0
09yij3a9,2,0,4,NA,2,5,1,1,No,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,3.3340001106262207,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,50,50,0
09yij3a9,3,0,4,NA,2,5,1,1,NA,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,50,50,0
0b3lyhef,1,0,2,Yes,1,6,1,1,Yes,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,50,50,0
0b3lyhef,2,0,2,NA,1,6,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,50,0
0b3lyhef,3,0,2,NA,1,6,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,50,0
0cvldt5p,1,1,3,No,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,20,70,10
0cvldt5p,2,1,3,NA,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,70,10
0cvldt5p,3,1,3,NA,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,70,10
0cyopiav,1,1,4,No,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,6,75,25,0
